BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Northern Bank Direct,4.0,180 Days,4.50%,$500,$500,4.5
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
First Internet Bank,3.4,180 Days,4.40%,$1k,$1k,4.4
Genisys Credit Union,4.8,90 Days,4.37%,$500,$500,4.37
BCU,5.0,—,4.35%,$500,—,4.35
NexBank,3.2,—,4.35%,$10k,$10k,4.35
Prime Alliance Bank,4.8,30 Days,4.30%,$500,$500,4.3
Lafayette Federal Credit Union,4.1,180 Days,4.28%,$500,$500,4.28
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
Kinecta Federal Credit Union,4.6,90 Days,4.25%,$100,$100,4.25
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
TAB Bank,4.2,90 Days,4.21%,$1k,$1k,4.21
KS StateBank,4.1,180 Days,4.20%,$500,$500,4.2
Mountain America Credit Union,4.8,90 Days,4.20%,$500,$500,4.2
Utah First Federal Credit Union,2.2,—,4.20%,$2k,$2k,4.2
Sallie Mae Bank,3.6,90 Days,4.20%,$2.5k,$2.5k,4.2
All In Credit Union (AL),4.1,—,4.18%,$1k,—,4.18
Peak Bank,4.1,—,4.16%,$1k,—,4.16
First National Bank of America,4.2,90 Days,4.16%,$1k,$1k,4.16
American Bank,4.7,90 Days,4.15%,$500,$500,4.15
