BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit
TotalBank,4.0,$0,4.41%,$2.5k,$25k
Vio Bank,5.0,$0,4.41%,$0,$100
Brilliant Bank,4.5,—,4.40%,$1k,$1k
First Foundation Bank,5.0,$0,4.40%,$0,$1k
ZYNLO Bank,5.0,$0,4.40%,$0,$10
Presidential Bank (MD),5.0,$5,4.37%,$25k,$25k
CFG Bank,4.3,$10,4.32%,$1k,$1k
Merchants Bank of Indiana,5.0,$0,4.25%,$0,$50
Redneck Bank,5.0,$0,4.25%,$0,$500
Prime Alliance Bank,5.0,$0,4.15%,$0,—
Bank of Blue Valley,5.0,—,4.05%,$0,—
UFB Direct,4.9,$10,4.01%,$0,$0
Armed Forces Bank,3.6,—,4.00%,$25k,—
EverBank,5.0,$0,4.00%,$10k,$0
Geico Credit Union,5.0,—,4.00%,$15k,—
Virtual Bank,5.0,—,4.00%,$0,—
Western State Bank,5.0,$0,4.00%,$0,$5k
iGObanking,3.2,$0,4.00%,$25k,$25k
Virtual Bank,5.0,$5,4.00%,$0,$100
BankPurely,3.6,—,3.90%,$25k,$25k
iGObanking,3.4,$0,3.90%,$25k,$25k
My eBanc,4.4,$15,3.90%,$0,$5k
Sallie Mae Bank,5.0,$0,3.90%,$0,$0
CNB Bank Direct,3.2,$0,3.80%,$25k,$25k
Northern Bank Direct,4.8,$0,3.75%,$0,$5k
FNBO Direct,5.0,$0,3.70%,$25k,$0
First Internet Bank,5.0,$5,3.61%,$0,$100
Ally Bank,5.0,$0,3.60%,$0,$0
Discover®,5.0,$0,3.60%,$0,$0
Kinecta Federal Credit Union,5.0,—,3.50%,$0,—
Chevron Federal Credit Union,5.0,$0,3.50%,$25k,$0
Premier America Credit Union,5.0,—,3.50%,$20k,—
Gateway First Bank,4.7,—,3.40%,$25k,—
Northpointe Bank,3.6,$0,3.25%,$25k,$100
BankUnited,3.0,$15,3.00%,$2.5k,$2.5k
Fort Liberty Federal Credit Union,3.5,—,3.00%,$2.5k,—
nbkc bank,5.0,—,3.00%,$0,$0
Bellco Credit Union,4.1,$10,2.70%,$10k,$1k
American Heritage Credit Union,3.7,$10,2.65%,$25k,$2k
Texas Capital Bank,4.4,$0,2.54%,$500,—
National Cooperative Bank,3.6,$25,2.53%,$0,$100
Security Service Federal Credit Union,4.4,$0,2.53%,$0,$1k
Sun Canyon Bank,3.3,$10,2.53%,$2.5k,$2.5k
ConnectOne Bank,4.3,$10,2.50%,$25k,$1k
Luana Savings Bank,3.7,$10,2.48%,$2.5k,$2.5k
Seattle Bank,4.8,$5,2.40%,$0,$100
River City Federal Credit Union,3.3,—,2.27%,$2k,—
Self-Help Credit Union,4.4,$5,2.12%,$500,$500
PlainsCapital Bank,3.7,$10,2.07%,$5k,$2.5k
Department Of Commerce Federal Credit Union,3.6,$0,2.02%,$20k,$2.5k
KS StateBank,5.0,$0,2.02%,$25k,$2.5k
Regions Bank,3.7,—,2.00%,$10k,—
American Bank,4.8,$0,2.00%,$0,$1
Credit Human,4.6,$7,2.00%,$10k,$1k
Synchrony Bank,4.6,$0,2.00%,$0,$0
Randolph-Brooks Federal Credit Union,3.4,$0,1.97%,$2.5k,$2.5k
Randolph-Brooks Federal Credit Union,3.8,$0,1.81%,$2.5k,—
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0
BB Americas Bank,3.6,$20,1.75%,$10k,$1k
Mountain America Credit Union,5.0,—,1.75%,$25k,$0
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k
CIT Bank,4.0,$0,1.55%,$0,$100
Frost Bank,4.3,$15,1.55%,$0,—
Northrop Grumman Federal Credit Union,3.2,—,1.55%,$2.5k,$2.5k
IncredibleBank,4.5,$10,1.51%,$10k,$0
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—
Capital Educators Federal Credit Union,2.9,$18,1.50%,$25k,$0
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—
Synergy Federal Credit Union,3.2,—,1.41%,$25k,—
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k
WaFd Bank,3.7,—,1.25%,$0,—
Woodforest National Bank,3.8,$25,1.25%,$0,$25
Vision Financial Federal Credit Union,2.8,—,1.21%,$2.5k,—
Quorum Federal Credit Union,4.4,$0,1.20%,$25k,—
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k
Border Federal Credit Union,3.2,—,1.15%,$25k,—
Citizens State Bank (6194),4.0,—,1.11%,$25k,$0
United States Senate Federal Credit Union,3.6,$0,1.11%,$20k,$2k
Ideal Credit Union,3.9,$10,1.06%,$25k,—
Boeing Employees Credit Union (BECU),4.4,$0,1.06%,$10k,—
Thrivent Federal Credit Union,3.9,$10,1.01%,$25k,$0
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0
Amalgamated Bank,4.4,—,1.00%,$25k,—
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k
Superior Choice Credit Union,3.7,$10,1.00%,$10k,$2.5k
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0
AgFed Credit Union,3.7,—,0.85%,$10k,$0
NuVision Federal Credit Union,3.4,—,0.80%,$25k,$2.5k
Jovia Financial Credit Union,3.2,$0,0.75%,$25k,—
Marine Federal Credit Union,5.0,—,0.75%,$0,$0
Abound Credit Union,3.7,—,0.75%,$10k,$0
Jefferson Bank (TX),4.3,$10,0.75%,$1k,$200
Marion State Bank (TX),2.5,—,0.75%,$25k,—
Pasadena Federal Credit Union,2.8,—,0.75%,$10k,$2.5k
The First State Bank,3.5,—,0.75%,$2.5k,—
First Horizon Bank,3.7,$9,0.70%,$25k,$50
Service Credit Union,3.4,$5,0.70%,$25k,—
GTE Financial,4.0,—,0.65%,$10k,$1
Marine Federal Credit Union,2.0,—,0.65%,$10k,$2.5k
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k
SunWest,3.0,—,0.60%,$25k,—
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k
North American Savings Bank,3.5,$7.50,0.55%,$25k,$1k
Pinnacle Federal Credit Union,2.1,—,0.55%,$20k,$20k
Southwest Research Center Federal Credit Union,3.0,—,0.55%,$10k,—
Advancial,2.8,$0,0.51%,$25k,$2.5k
KeyBank,2.8,$20,0.50%,$25k,$5k
